ziel;jahr;serie;wert;szenario
M1;2024;f1;0.995;L
M1;2025;f1;0.995;L
M1;2026;f1;0.995;L
M1;2027;f1;0.995;L
M1;2028;f1;0.995;L
M1;2029;f1;0.995;L
M1;2030;f1;0.995;L
M1;2031;f1;0.995;L
M1;2032;f1;0.995;L
M1;2033;f1;0.995;L
M1;2034;f1;0.995;L
M1;2035;f1;0.995;L
M1;2036;f1;0.995;L
M1;2037;f1;0.995;L
M1;2038;f1;0.995;L
M1;2039;f1;0.995;L
M1;2040;f1;0.995;L
M1;2024;f2;12;L
M1;2025;f2;12.0;L
M1;2026;f2;12.0;L
M1;2027;f2;12.0;L
M1;2028;f2;12.0;L
M1;2029;f2;12.0;L
M1;2030;f2;12.0;L
M1;2031;f2;12;L
M1;2032;f2;11.0;L
M1;2033;f2;10.0;L
M1;2034;f2;9.0;L
M1;2035;f2;8.0;L
M1;2036;f2;12;L
M1;2037;f2;12.0;L
M1;2038;f2;12.0;L
M1;2039;f2;12.0;L
M1;2040;f2;12.0;L
M1;2024;f3;0.1;L
M1;2025;f3;0.1809090909090909;L
M1;2026;f3;0.26181818181818184;L
M1;2027;f3;0.34272727272727277;L
M1;2028;f3;0.4236363636363637;L
M1;2029;f3;0.5045454545454546;L
M1;2030;f3;0.5854545454545456;L
M1;2031;f3;0.6663636363636365;L
M1;2032;f3;0.7472727272727274;L
M1;2033;f3;0.8281818181818184;L
M1;2034;f3;0.9090909090909093;L
M1;2035;f3;0.9900000000000002;L
M1;2036;f3;0.99;L
M1;2037;f3;0.99;L
M1;2038;f3;0.99;L
M1;2039;f3;0.99;L
M1;2040;f3;0.99;L
M1;2024;TS_TOTAL;60964.0;L
M1;2025;TS_TOTAL;60659;L
M1;2026;TS_TOTAL;60356;L
M1;2027;TS_TOTAL;60054;L
M1;2028;TS_TOTAL;59754;L
M1;2029;TS_TOTAL;59455;L
M1;2030;TS_TOTAL;59158;L
M1;2031;TS_TOTAL;58862;L
M1;2032;TS_TOTAL;58568;L
M1;2033;TS_TOTAL;58275;L
M1;2034;TS_TOTAL;57984;L
M1;2035;TS_TOTAL;57694;L
M1;2036;TS_TOTAL;57406;L
M1;2037;TS_TOTAL;57119;L
M1;2038;TS_TOTAL;56833;L
M1;2039;TS_TOTAL;56549;L
M1;2040;TS_TOTAL;56266;L
M1;2024;TS_ELECTRIC;2006;L
M1;2025;TS_ELECTRIC;2463;L
M1;2026;TS_ELECTRIC;3221;L
M1;2027;TS_ELECTRIC;4337;L
M1;2028;TS_ELECTRIC;5832;L
M1;2029;TS_ELECTRIC;7632;L
M1;2030;TS_ELECTRIC;9755;L
M1;2031;TS_ELECTRIC;12240;L
M1;2032;TS_ELECTRIC;14551;L
M1;2033;TS_ELECTRIC;20387;L
M1;2034;TS_ELECTRIC;27508;L
M1;2035;TS_ELECTRIC;34121;L
M1;2036;TS_ELECTRIC;42203;L
M1;2037;TS_ELECTRIC;42203;L
M1;2038;TS_ELECTRIC;42203;L
M1;2039;TS_ELECTRIC;42203;L
M1;2040;TS_ELECTRIC;40708;L
M1;2024;PCT_ELECTRIC;3.2904665048225183;L
M1;2025;PCT_ELECTRIC;4.060403237771807;L
M1;2026;PCT_ELECTRIC;5.3366690966929555;L
M1;2027;PCT_ELECTRIC;7.221833683018617;L
M1;2028;PCT_ELECTRIC;9.760016065870067;L
M1;2029;PCT_ELECTRIC;12.836599108569507;L
M1;2030;PCT_ELECTRIC;16.489739342100815;L
M1;2031;PCT_ELECTRIC;20.794400462097787;L
M1;2032;PCT_ELECTRIC;24.84462505122251;L
M1;2033;PCT_ELECTRIC;34.98412698412698;L
M1;2034;PCT_ELECTRIC;47.44067328918322;L
M1;2035;PCT_ELECTRIC;59.14133185426561;L
M1;2036;PCT_ELECTRIC;73.51670557084626;L
