ziel;jahr;serie;wert;szenario
M1;2024;f1;0.995;L
M1;2025;f1;0.995;L
M1;2026;f1;0.995;L
M1;2027;f1;0.995;L
M1;2028;f1;0.995;L
M1;2029;f1;0.995;L
M1;2030;f1;0.995;L
M1;2031;f1;0.995;L
M1;2032;f1;0.995;L
M1;2033;f1;0.995;L
M1;2034;f1;0.995;L
M1;2035;f1;0.995;L
M1;2036;f1;0.995;L
M1;2037;f1;0.995;L
M1;2038;f1;0.995;L
M1;2039;f1;0.995;L
M1;2040;f1;0.995;L
M1;2024;f2;12.0;L
M1;2025;f2;12.0;L
M1;2026;f2;12.0;L
M1;2027;f2;12.0;L
M1;2028;f2;12.0;L
M1;2029;f2;12.0;L
M1;2030;f2;12.0;L
M1;2031;f2;12.0;L
M1;2032;f2;11.0;L
M1;2033;f2;10.0;L
M1;2034;f2;9.0;L
M1;2035;f2;8.0;L
M1;2036;f2;12.0;L
M1;2037;f2;12.0;L
M1;2038;f2;12.0;L
M1;2039;f2;12.0;L
M1;2040;f2;12.0;L
M1;2024;f3;0.2;L
M1;2025;f3;0.2;L
M1;2026;f3;0.2;L
M1;2027;f3;0.2;L
M1;2028;f3;0.2;L
M1;2029;f3;0.2;L
M1;2030;f3;0.2;L
M1;2031;f3;0.3;L
M1;2032;f3;0.3;L
M1;2033;f3;0.3;L
M1;2034;f3;0.3;L
M1;2035;f3;0.3;L
M1;2036;f3;0.4;L
M1;2037;f3;0.4;L
M1;2038;f3;0.4;L
M1;2039;f3;0.4;L
M1;2040;f3;0.4;L
M1;2024;TS_TOTAL;60964.0;L
M1;2025;TS_TOTAL;60659;L
M1;2026;TS_TOTAL;60356;L
M1;2027;TS_TOTAL;60054;L
M1;2028;TS_TOTAL;59754;L
M1;2029;TS_TOTAL;59455;L
M1;2030;TS_TOTAL;59158;L
M1;2031;TS_TOTAL;58862;L
M1;2032;TS_TOTAL;58568;L
M1;2033;TS_TOTAL;58275;L
M1;2034;TS_TOTAL;57984;L
M1;2035;TS_TOTAL;57694;L
M1;2036;TS_TOTAL;57406;L
M1;2037;TS_TOTAL;57119;L
M1;2038;TS_TOTAL;56833;L
M1;2039;TS_TOTAL;56549;L
M1;2040;TS_TOTAL;56266;L
M1;2024;TS_ELECTRIC;2006;L
M1;2025;TS_ELECTRIC;2917;L
M1;2026;TS_ELECTRIC;3758;L
M1;2027;TS_ELECTRIC;4605;L
M1;2028;TS_ELECTRIC;5436;L
M1;2029;TS_ELECTRIC;6297;L
M1;2030;TS_ELECTRIC;7119;L
M1;2031;TS_ELECTRIC;7968;L
M1;2032;TS_ELECTRIC;8755;L
M1;2033;TS_ELECTRIC;10546;L
M1;2034;TS_ELECTRIC;12072;L
M1;2035;TS_ELECTRIC;13181;L
M1;2036;TS_ELECTRIC;15627;L
M1;2037;TS_ELECTRIC;15627;L
M1;2038;TS_ELECTRIC;15627;L
M1;2039;TS_ELECTRIC;15627;L
M1;2040;TS_ELECTRIC;14796;L
M1;2024;PCT_ELECTRIC;3.2904665048225183;L
M1;2025;PCT_ELECTRIC;4.808849469987965;L
M1;2026;PCT_ELECTRIC;6.226390085492743;L
M1;2027;PCT_ELECTRIC;7.668098711159956;L
M1;2028;PCT_ELECTRIC;9.09729892559494;L
M1;2029;PCT_ELECTRIC;10.591203431166429;L
M1;2030;PCT_ELECTRIC;12.033875384563373;L
M1;2031;PCT_ELECTRIC;13.536746967483266;L
M1;2032;PCT_ELECTRIC;14.948436006010107;L
M1;2033;PCT_ELECTRIC;18.096954096954097;L
M1;2034;PCT_ELECTRIC;20.81953642384106;L
M1;2035;PCT_ELECTRIC;22.8463965057025;L
M1;2036;PCT_ELECTRIC;27.221893181897364;L
M1;2037;PCT_ELECTRIC;27.358672245662564;L
M1;2038;PCT_ELECTRIC;27.49634895219327;L
