kostenart;HF;kosten_mio_chf
Investitionen Trendentwicklung im Vgl. zu 2020;160;AA1
Investitionen Trendentwicklung im Vgl. zu 2020;1814;AA2
Investitionen Trendentwicklung im Vgl. zu 2020;95;AA3
Investitionen Trendentwicklung im Vgl. zu 2020;178;AA4
Zusätzliche Investitionen Netto-Null-Absenkpfad im Vgl. zu Trendentwicklung;101;AA1
Zusätzliche Investitionen Netto-Null-Absenkpfad im Vgl. zu Trendentwicklung;1160;AA2
Zusätzliche Investitionen Netto-Null-Absenkpfad im Vgl. zu Trendentwicklung;67;AA3
Zusätzliche Investitionen Netto-Null-Absenkpfad im Vgl. zu Trendentwicklung;47;AA4
Klimaschutzinvestitionen 2020 bis 2037;261;AA1
Klimaschutzinvestitionen 2020 bis 2037;2974;AA2
Klimaschutzinvestitionen 2020 bis 2037;161;AA3
Klimaschutzinvestitionen 2020 bis 2037;225;AA4
