ziel;szenario;faktor;jahr_von;jahr_bis;wert_von;wert_bis
M1;L;f1;0;2040;0.995;0.995
M1;L;f2;0;2030;12.0;12.0
M1;L;f2;2031;2035;12.0;8.0
M1;L;f2;2036;2040;12.0;12.0
M1;L;f3;0;2030;0.2;0.2
M1;L;f3;2031;2035;0.3;0.3
M1;L;f3;2036;2040;0.4;0.4
M1;M;f1;0;2040;0.99;0.99
M1;M;f2;0;2030;12.0;12.0
M1;M;f2;2031;2035;12.0;8.0
M1;M;f2;2036;2040;12.0;12.0
M1;M;f3;0;2030;0.2;0.4
M1;M;f3;2031;2035;0.4;0.6
M1;M;f3;2036;2040;0.6;0.8
M1;H;f1;0;2040;0.985;0.985
M1;H;f2;0;2030;11.0;11.0
M1;H;f2;2031;2035;11.0;7.0
M1;H;f2;2036;2040;11.0;11.0
M1;H;f3;0;2030;0.1;1.5
M1;H;f3;2031;2035;0.5;1.0
M1;H;f3;2036;2040;1.0;1.0
